VTABLE 0x10103e78 (tubequeen):
  [0] 0x100c7a90 FUN_100c7a90
  [1] 0x100c7bd0 FUN_100c7bd0
  [2] 0x1002cb30 FUN_1002cb30
  [3] 0x100c7240 FUN_100c7240
  [4] 0x100c7270 FUN_100c7270
  [5] 0x100c7000 FUN_100c7000
  [6] 0x100013a0 FUN_100013a0
  [7] 0x100c7190 FUN_100c7190
  [8] 0x100c72d0 FUN_100c72d0
  [9] 0x100013c0 FUN_100013c0
  [10] 0x1000ef80 FUN_1000ef80
  [11] 0x100c7d10 FUN_100c7d10
  [12] 0x1000d7d0 FUN_1000d7d0
  [13] 0x100c7d00 FUN_100c7d00
  [14] 0x1000a320 FUN_1000a320
  [15] 0x1000fb60 FUN_1000fb60
  [16] 0x100013d0 FUN_100013d0
  [17] 0x10001790 FUN_10001790
  [18] 0x100013e0 FUN_100013e0
  [19] 0x10001750 FUN_10001750
  [20] 0x100013f0 FUN_100013f0
  [21] 0x10001400 FUN_10001400
  [22] 0x10001410 FUN_10001410
  [23] 0x10001420 FUN_10001420
  [24] 0x10001430 FUN_10001430
  [25] 0x10001760 FUN_10001760
  [26] 0x10001940 FUN_10001940
  [27] 0x10001440 FUN_10001440
  [28] 0x10008870 FUN_10008870
  [29] 0x10001450 FUN_10001450
  [30] 0x10001460 FUN_10001460
  [31] 0x10001470 FUN_10001470
  [32] 0x10001480 FUN_10001480
  [33] 0x10001490 FUN_10001490
  [34] 0x100017a0 FUN_100017a0
  [35] 0x100014a0 FUN_100014a0
  [36] 0x100014c0 FUN_100014c0
  [37] 0x100014f0 FUN_100014f0
  [38] 0x10008750 FUN_10008750
  [39] 0x10001560 FUN_10001560
  [40] 0x10001570 FUN_10001570
  [41] 0x10001580 FUN_10001580
  [42] 0x10001590 FUN_10001590
  [43] 0x100082f0 FUN_100082f0
  [44] 0x100015a0 FUN_100015a0
  [45] 0x100015b0 FUN_100015b0
  [46] 0x100015d0 FUN_100015d0
  [47] 0x100015f0 FUN_100015f0
  [48] 0x10001620 FUN_10001620
  [49] 0x10001630 FUN_10001630
  [50] 0x10028d50 FUN_10028d50
  [51] 0x10001640 FUN_10001640
  [52] 0x100016b0 FUN_100016b0
  [53] 0x100016f0 FUN_100016f0
  [54] 0x10001880 FUN_10001880
  [55] 0x10001730 FUN_10001730
  [56] 0x10028250 FUN_10028250
  [57] 0x10028130 FUN_10028130
  [58] 0x100c7310 FUN_100c7310
  [59] 0x100c7180 FUN_100c7180
  [60] 0x10001780 FUN_10001780
  [61] 0x10027ce0 FUN_10027ce0
  [62] 0x100c7010 FUN_100c7010
  [63] 0x1002dd20 FUN_1002dd20
  [64] 0x1002bca0 FUN_1002bca0
  [65] 0x100282d0 FUN_100282d0
  [66] 0x1002b460 FUN_1002b460
  [67] 0x1002af50 FUN_1002af50
  [68] 0x1002d710 FUN_1002d710
  [69] 0x1000c7b0 FUN_1000c7b0
  [70] 0x1002b140 FUN_1002b140
  [71] 0x1002ba30 FUN_1002ba30
  [72] 0x1000ebf0 FUN_1000ebf0
  [73] 0x1000eb10 FUN_1000eb10
  [74] 0x10029800 FUN_10029800
  [75] 0x1002a960 FUN_1002a960
  [76] 0x1002ae70 FUN_1002ae70
  [77] 0x1002ae50 FUN_1002ae50
  [78] 0x100017d0 FUN_100017d0
  [79] 0x100017e0 FUN_100017e0
  [80] 0x100c7fc0 FUN_100c7fc0
  [81] 0x10028dc0 FUN_10028dc0
  [82] 0x10028e00 FUN_10028e00
  [83] 0x10028e60 FUN_10028e60
  [84] 0x100c72a0 FUN_100c72a0
  [85] 0x100c7930 FUN_100c7930
  [86] 0x100c7a30 FUN_100c7a30
  [87] 0x1000fff0 FUN_1000fff0
  [88] 0x100c7e50 FUN_100c7e50
  [89] 0x10001800 FUN_10001800
  [90] 0x1002ce00 FUN_1002ce00
